CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,BIRTH_DAY,BIRTH_MONTH,BIRTH_YEAR,BIRTH_COUNTRY,EMAIL_ADDRESS
C27K7TMK,Ms.,Jane,Johnson,20,10,1953,India,jane.johnson@example.com
QCX3775C,Mr.,Sam,Smith,07,11,1953,India,sam.smith@example.com
ZASO3XFI,Mr.,Taylor,Miller,01,03,1961,India,taylor.miller@example.com
FQ07747V,Ms.,Taylor,Smith,25,06,1957,Japan,taylor.smith@test.org
S960PMGL,Mr.,Morgan,Davis,26,11,1969,Japan,morgan.davis@test.org
0PO0EI9H,Mr.,Jordan,Brown,22,09,2001,Germany,jordan.brown@example.com
6JTRSNRP,Dr.,Morgan,Davis,25,06,1967,Canada,morgan.davis@mail.com
RK2DF6EE,Ms.,Sam,Jones,22,07,1950,UK,sam.jones@company.net
SFJ2S6M0,Ms.,Riley,Williams,21,10,1951,Germany,riley.williams@test.org
YPKA9510,Dr.,Jordan,Smith,14,12,1994,Brazil,jordan.smith@company.net
13RJW2IJ,Ms.,Jordan,Jones,10,09,1986,France,jordan.jones@test.org
LA95VMX5,Mrs.,Casey,Garcia,04,05,1994,Australia,casey.garcia@company.net
J995TG5F,Dr.,John,Johnson,26,04,1953,Australia,john.johnson@example.com
1ZDVJSB4,Mr.,Chris,Rodriguez,18,10,1981,UK,chris.rodriguez@example.com
7YVMPXCL,Mr.,Morgan,Smith,09,07,1971,Australia,morgan.smith@company.net
72AVS56X,Mr.,Riley,Jones,07,11,1966,India,riley.jones@example.com
3XDON0ZY,Mrs.,Morgan,Smith,12,05,1992,India,morgan.smith@mail.com
B7KHWGGM,Mr.,Jane,Garcia,22,09,1973,Canada,jane.garcia@company.net
OFWCSO1J,Mrs.,Jordan,Rodriguez,11,10,1972,Australia,jordan.rodriguez@company.net
WW80MEZF,Mrs.,Taylor,Garcia,11,12,1959,Brazil,taylor.garcia@example.com
AF7HEF1F,Prof.,John,Jones,02,06,1990,China,john.jones@mail.com
ZQ6FEEH4,Mrs.,Jane,Rodriguez,18,01,1980,India,jane.rodriguez@test.org
OKV0ZGJH,Dr.,Riley,Johnson,19,05,1986,Canada,riley.johnson@mail.com
HE9VVSXL,Mr.,Jane,Martinez,02,11,1956,Japan,jane.martinez@example.com
