ORDER_DATE,ORDER_TIME,ITEM_ID,ITEM_DESC,CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,STORE_ID,STORE_NAME,ORDER_QUANTITY,SALE_PRICE,DISCOUNT_AMT,COUPON_AMT,NET_PAID,NET_PAID_TAX,NET_PROFIT
2023-10-27,23:01:05,5MB52CXB,Item 3OM2I,ZFNHKFI7,Mr.,John,Rodriguez,AK6HKY,DiscountDepot,4,167.8,11.12,11.65,145.03,14.5,29.85
2023-09-25,04:46:50,0C0J7AA6,Item QT1FA,F73P2926,Mr.,Riley,Davis,YZFN13,DiscountDepot,1,465.5,87.91,41.17,336.42,33.64,23.48
2023-08-18,06:03:06,VHXWZA94,Item ZHM4I,PCETPUMS,Mr.,Casey,Jones,XLJGTD,QuickShop,2,434.95,72.47,23.17,339.31,33.93,44.41
2020-12-10,05:33:02,4ORO0FNF,Item HWMUL,NCXKKO9I,Prof.,Sam,Rodriguez,F99GVG,SuperMart,3,353.16,39.68,14.11,299.37,29.94,57.53
2023-03-22,06:58:53,U4K7R0DL,Item C6G5X,WHNNL1BM,Ms.,Morgan,Rodriguez,XI4YOS,DiscountDepot,4,132.56,11.41,9.35,111.8,11.18,21.08
2023-06-09,23:25:52,PIWG06U9,Item 0IJ6C,XXERZJEO,Dr.,Jordan,Jones,NOVK5B,DiscountDepot,2,263.59,34.74,18.66,210.19,21.02,31.02
2022-09-15,10:52:57,37HBCNDC,Item HK884,4PI7WKSK,Mrs.,Riley,Garcia,OUNQ0D,SuperMart,4,187.84,10.16,14.85,162.83,16.28,33.85
2020-03-09,04:23:52,9GX7J1Z5,Item MCDI0,983PS5CS,Ms.,John,Miller,BRGQP5,DailyNeeds,2,237.24,30.96,12.99,193.29,19.33,31.62
2021-08-08,13:44:54,ONIC0H10,Item 6P8PQ,H8K04CH9,Ms.,Chris,Johnson,KW5DU4,DiscountDepot,2,127.57,12.2,10.19,105.18,10.52,18.12
2024-12-08,02:31:01,SR4ABCZX,Item S5MPH,KGVLXK0P,Prof.,Jordan,Garcia,RLMJ7K,DailyNeeds,5,134.64,12.91,2.92,118.81,11.88,26.15
2021-11-30,20:31:26,MK0PF833,Item G0W0F,YOQ71Y90,Mrs.,Morgan,Davis,7BJDM0,SuperMart,2,100.37,16.25,1.71,82.41,8.24,13.95
2024-07-19,19:16:07,3B10AO2O,Item XGRNX,Z37DGXNO,Ms.,Chris,Brown,GEEFXK,MegaStore,2,14.97,1.75,0.59,12.63,1.26,2.39
2022-12-16,01:06:22,FIA2E78B,Item FH4TI,75S0C089,Dr.,Taylor,Garcia,WKBK2W,DiscountDepot,1,63.74,5.86,4.94,52.94,5.29,9.41
2020-11-11,10:17:33,IU40O45P,Item 0PJIR,NUV8TM4L,Mrs.,Morgan,Smith,07BJUL,QuickShop,1,265.93,45.04,13.16,207.73,20.77,27.4
2021-01-18,23:17:44,8ZMBZQZY,Item MYWYU,ZZ2R12J2,Prof.,Sam,Jones,DO2XXN,DiscountDepot,5,108.92,17.15,9.91,81.86,8.19,8.32
2022-05-17,11:43:39,VGP9JGNL,Item DH9IM,2ATZHJKB,Ms.,Alex,Brown,WL2704,QuickShop,2,404.21,50.48,26.93,326.8,32.68,51.59
2021-02-06,15:14:30,CQVKYO2Q,Item LYX21,269CBRQZ,Mrs.,Sam,Rodriguez,OV4D8U,DailyNeeds,3,233.59,34.49,20.99,178.11,17.81,20.15
2021-10-27,08:04:45,A9Y0X8Z7,Item BFDFW,PYCEA9C9,Prof.,Chris,Jones,GQXOG2,SuperMart,4,164.26,32.35,14.55,117.36,11.74,7.06
2020-11-21,03:10:32,10DWPHS4,Item IHXD3,CWX5D9HX,Mrs.,Casey,Miller,7GB0TR,MegaStore,5,492.86,77.7,21.29,393.87,39.39,58.76
2022-11-17,12:26:08,3C2RTDWJ,Item NRH84,CHPWY5PH,Dr.,Chris,Martinez,3G95FR,DiscountDepot,5,224.05,16.75,22.1,185.2,18.52,32.25
2023-09-06,15:15:53,VFVCD6LM,Item TG7MU,X81R3D0U,Mrs.,Taylor,Davis,PDHVK3,QuickShop,3,107.93,5.62,8.17,94.14,9.41,19.97
2023-07-10,02:42:19,X0DXER14,Item BVEEY,PJ8PRPKE,Prof.,Jordan,Jones,2U5MGF,DailyNeeds,3,454.02,29.69,31.38,392.95,39.3,81.24
2024-10-25,21:23:22,PFZOUXRB,Item 3JQ3C,VYAVAJN1,Mrs.,Morgan,Smith,5ISFHN,DiscountDepot,2,187.7,15.32,4.1,168.28,16.83,38.83
2022-03-06,23:44:27,8HATER8Z,Item LRG9T,VH2MT0PK,Mr.,John,Garcia,BGXB7O,MegaStore,2,247.25,20.17,18.46,208.62,20.86,39.41
2020-09-02,02:37:13,9WYRBNX5,Item 61COH,O4O4NLYH,Prof.,Alex,Rodriguez,CYCEQ5,QuickShop,5,415.69,53.42,20.58,341.69,34.17,58.11
2021-07-01,08:12:36,QS4OEZ3R,Item DDAZF,YA6PT7P8,Mr.,Jordan,Rodriguez,EVHUDP,MegaStore,3,402.53,28.48,15.51,358.54,35.85,81.17
2024-06-22,02:31:48,8DXUFT3G,Item X8TPP,D8AGFVJ5,Ms.,Jordan,Rodriguez,RVJ9CY,QuickShop,2,178.44,14.21,4.82,159.41,15.94,36.41
2021-01-30,02:49:07,1LIBJTDV,Item 7U5L2,Z2O5TKE5,Prof.,Morgan,Davis,327BRQ,SuperMart,1,326.45,31.86,7.27,287.32,28.73,62.72
2024-07-05,06:34:15,JAJ6C4FP,Item FNAF2,7E532RNC,Prof.,Casey,Brown,CC7KFU,DiscountDepot,1,283.69,18.61,14.83,250.25,25.03,55.01
2024-01-23,23:34:23,ZKC67OFH,Item L9NMV,J4D027MF,Dr.,Jane,Davis,BBENRB,DiscountDepot,1,454.95,35.41,13.8,405.74,40.57,92.2
2022-03-18,05:10:00,633R3VCX,Item QE81O,35YXC3CE,Prof.,Sam,Smith,THAM1L,DailyNeeds,2,408.86,76.75,20.81,311.3,31.13,34.85
2024-06-10,23:53:33,Y6KL7BO4,Item F16U8,BWK1SGSH,Dr.,Taylor,Martinez,VPSV7V,DailyNeeds,1,113.52,16.71,9.03,87.78,8.78,10.89
2023-06-20,21:47:44,7FY8BA2M,Item F8VVQ,VX9SSDZK,Mrs.,Jordan,Garcia,0A2CO6,QuickShop,3,82.91,8.18,5.08,69.65,6.97,12.93
2023-05-02,10:00:56,SNBY5XG3,Item LP8DH,5JEDYPMT,Dr.,Alex,Rodriguez,CXAVP5,SuperMart,2,492.07,96.6,14.45,381.02,38.1,47.68
2021-12-26,08:38:00,1AID2IY8,Item A42RU,0V9ZOPY7,Prof.,Alex,Martinez,2IH96F,MegaStore,4,23.1,2.33,1.26,19.51,1.95,3.7
2023-07-12,07:11:09,HDFLI18K,Item BZCYG,KA4S2PK1,Mrs.,Chris,Jones,WVFTLE,SuperMart,5,297.26,39.53,24.38,233.35,23.34,31.65
2022-08-28,15:37:58,H2MPKKCL,Item LZ3YR,1ZHETVDH,Mrs.,Chris,Johnson,1LEQBB,DiscountDepot,4,200.35,11.63,13.56,175.16,17.52,37.43
2022-09-24,05:44:20,N48TELJ6,Item I48SR,WJMJ0A24,Ms.,Riley,Martinez,PPG3G5,SuperMart,2,413.98,44.06,21.05,348.87,34.89,65.59
2023-11-13,14:20:28,ARDUGKKP,Item G242B,WEB8J3U2,Prof.,Casey,Jones,9IHNKA,QuickShop,5,397.06,32.47,25.08,339.51,33.95,67.32
2024-12-24,02:07:41,WVAQ9WLK,Item 6Y9TR,9JKNSCMD,Ms.,Riley,Martinez,URSYGT,DiscountDepot,3,193.55,38.46,4.19,150.9,15.09,19.68
2020-07-09,06:27:42,NVJSP9C9,Item 7W5ZA,H1MG400E,Dr.,Sam,Davis,XRG9DH,DiscountDepot,4,469.67,41.92,26.75,401.0,40.1,79.1
2021-07-26,11:55:18,9HXCW79P,Item IE9ZT,VTVFBKPM,Mr.,Casey,Martinez,31IBKH,QuickShop,5,136.62,15.52,8.17,112.93,11.29,19.67
2022-10-04,01:33:01,FK5STBW2,Item O4D2V,GXG2PEWG,Mrs.,Riley,Davis,TXGL4C,QuickShop,1,64.93,5.19,5.2,54.54,5.45,10.13
2020-06-22,10:03:10,P25WM58C,Item 8OYOV,7HSBW6PC,Dr.,Jane,Brown,8M1SP0,MegaStore,5,113.72,13.92,3.51,96.29,9.63,18.43
2020-10-18,22:43:56,GVI7TWQL,Item 782DH,77WSF7AP,Mrs.,Casey,Miller,L0XTP3,DiscountDepot,4,192.89,16.67,13.74,162.48,16.25,30.5
